gene-name	is-regulator	avg-all	avg-nonresp	avg-respond	avg-diff	t-pval	t-stat	wilcox-pval	wilcox-stat	num-repeats-all	num-repeats-nonresp	num-repeats-respond
ZMYM3	0	3.5	3.69	3.25	0.444	0.0531	2.01	0.0643	206	2	2	1
SEZ6	0	0.566	0.76	0.306	0.455	0.0568	2.01	0.33	180	1	1	1
NBR1	0	5.14	5	5.32	-0.322	0.0714	-1.86	0.0692	95	2	1	2
GSK3B	0	3.46	3.61	3.26	0.348	0.0757	1.83	0.11	198	2	1	1
ELK3	1	3.42	3.22	3.69	-0.461	0.0814	-1.8	0.0463	90	1	1	1
CCNK	0	1.74	1.87	1.56	0.306	0.0916	1.74	0.107	199	1	1	1
ASCL1	1	0.599	0.828	0.293	0.535	0.0932	1.75	0.149	194	1	1	1
SYT4	0	0.558	0.754	0.296	0.458	0.0945	1.73	0.443	174	2	1	1
DCAF16	0	3.4	3.28	3.55	-0.27	0.164	-1.43	0.152	106	2	1	2
HTATSF1	0	4.55	4.42	4.72	-0.302	0.164	-1.43	0.4	124	1	1	1
MLEC	0	6.32	6.49	6.08	0.409	0.166	1.42	0.283	183	1	1	1
SMARCC1	1	4.75	4.85	4.61	0.248	0.18	1.38	0.254	185	1	1	1
XPO5	0	3.56	3.67	3.41	0.265	0.183	1.36	0.122	197	1	1	1
APEX1	0	7	7.11	6.85	0.261	0.2	1.31	0.121	197	2	2	1
MRFAP1	0	6.99	6.89	7.13	-0.236	0.204	-1.3	0.271	116	2	1	1
RCOR1	0	3.23	3.36	3.06	0.3	0.205	1.31	0.202	189	1	1	1
NARS	0	5.38	5.49	5.23	0.262	0.205	1.3	0.271	184	2	1	1
MARCH11	0	0.457	0.596	0.272	0.324	0.209	1.29	0.701	138	2	2	1
SCG3	0	0.527	0.683	0.319	0.364	0.211	1.28	0.681	163	1	1	1
SUDS3	0	4.19	4.3	4.04	0.253	0.22	1.25	0.377	177	2	1	2
PATL1	0	3.56	3.65	3.43	0.221	0.226	1.23	0.214	188	1	1	1
CHGA	0	1.03	1.35	0.613	0.738	0.26	1.15	1	150	1	1	1
VEZF1	1	3.63	3.51	3.79	-0.282	0.274	-1.11	0.438	126	1	1	1
REEP2	0	0.907	0.805	1.04	-0.239	0.282	-1.11	0.633	135	1	1	1
FARP1	0	2.44	2.56	2.29	0.263	0.292	1.07	0.4	176	1	1	1
ZNF704	0	2.91	2.76	3.12	-0.36	0.296	-1.07	0.237	114	2	2	1
TAF15	0	5.85	5.69	6.05	-0.364	0.297	-1.06	0.438	126	1	1	1
CACNA2D2	0	2.02	1.9	2.19	-0.289	0.306	-1.04	0.298	118	1	1	1
KRBA2	0	1.27	1.35	1.15	0.195	0.311	1.03	0.499	171	1	1	1
