gene-name	is-regulator	avg-all	avg-nonresp	avg-respond	avg-diff	t-pval	t-stat	wilcox-pval	wilcox-stat	num-repeats-all	num-repeats-nonresp	num-repeats-respond
MAP3K9	0	1.54	1.73	1.28	0.448	0.0246	2.35	0.0302	215	1	1	1
GPR173	0	0.722	0.541	0.964	-0.423	0.047	-2.12	0.0392	88	1	1	1
ZMYM3	0	3.5	3.69	3.25	0.444	0.0531	2.01	0.0643	206	2	2	1
SEZ6	0	0.566	0.76	0.306	0.455	0.0568	2.01	0.33	180	1	1	1
PSD	0	0.979	1.13	0.777	0.353	0.0701	1.89	0.382	177	1	1	1
NBR1	0	5.14	5	5.32	-0.322	0.0714	-1.86	0.0692	95	2	1	2
GSK3B	0	3.46	3.61	3.26	0.348	0.0757	1.83	0.11	198	2	1	1
ELK3	1	3.42	3.22	3.69	-0.461	0.0814	-1.8	0.0463	90	1	1	1
CLSTN2	0	1.65	2.11	1.03	1.08	0.0829	1.79	0.254	185	1	1	1
CDK5R2	0	0.36	0.54	0.121	0.419	0.084	1.81	0.347	179	1	1	1
CCNK	0	1.74	1.87	1.56	0.306	0.0916	1.74	0.107	199	1	1	1
ASCL1	1	0.599	0.828	0.293	0.535	0.0932	1.75	0.149	194	1	1	1
SYT4	0	0.558	0.754	0.296	0.458	0.0945	1.73	0.443	174	2	1	1
INA	0	0.46	0.64	0.219	0.421	0.108	1.67	0.283	183	1	1	1
C10orf11	0	1.24	1.4	1.03	0.372	0.112	1.63	0.122	197	1	1	1
TEX2	0	3.68	3.56	3.83	-0.279	0.122	-1.59	0.283	117	1	1	1
TMEM145	0	1.01	1.21	0.746	0.463	0.124	1.58	0.254	185	1	1	1
LRTM2	0	0.239	0.357	0.0827	0.274	0.127	1.59	0.286	182	2	1	1
LMLN	0	1.7	1.83	1.52	0.303	0.127	1.57	0.167	192	2	1	2
PSME3	0	4.68	4.79	4.53	0.262	0.151	1.48	0.149	194	1	1	1
CNIH2	0	1.32	1.46	1.15	0.31	0.16	1.44	0.268	184	1	1	1
DCAF16	0	3.4	3.28	3.55	-0.27	0.164	-1.43	0.152	106	2	1	2
HTATSF1	0	4.55	4.42	4.72	-0.302	0.164	-1.43	0.4	124	1	1	1
MLEC	0	6.32	6.49	6.08	0.409	0.166	1.42	0.283	183	1	1	1
RNF24	0	3.05	2.93	3.22	-0.299	0.169	-1.41	0.169	108	1	1	1
NOVA1	0	0.536	0.429	0.68	-0.251	0.171	-1.41	0.139	105	1	1	1
SYP	0	1.46	1.66	1.18	0.475	0.174	1.39	0.542	169	1	1	1
SMARCC1	1	4.75	4.85	4.61	0.248	0.18	1.38	0.254	185	1	1	1
XPO5	0	3.56	3.67	3.41	0.265	0.183	1.36	0.122	197	1	1	1
RBBP5	0	3.21	3.3	3.07	0.23	0.188	1.34	0.227	187	1	1	1
MAST1	0	0.554	0.642	0.438	0.204	0.192	1.34	0.934	147	1	1	1
TIAM1	0	1.43	1.57	1.23	0.345	0.192	1.33	0.268	184	1	1	1
BRSK1	0	1.39	1.18	1.66	-0.487	0.194	-1.32	0.0545	92	1	1	1
C22orf46	0	2.41	2.53	2.25	0.275	0.198	1.33	0.107	199	1	1	1
HNRNPA3	0	5.92	6.04	5.76	0.276	0.199	1.31	0.227	187	1	1	1
IFT81	0	2.09	2.19	1.96	0.235	0.2	1.31	0.419	175	1	1	1
MRFAP1	0	6.99	6.89	7.13	-0.236	0.204	-1.3	0.271	116	2	1	1
RCOR1	0	3.23	3.36	3.06	0.3	0.205	1.31	0.202	189	1	1	1
NOL4	0	0.478	0.583	0.338	0.245	0.208	1.29	0.657	164	1	1	1
MARCH11	0	0.457	0.596	0.272	0.324	0.209	1.29	0.701	138	2	2	1
MED14	0	3.15	3.25	3.02	0.23	0.209	1.28	0.257	184	2	1	1
PEG10	0	1.21	1.39	0.977	0.411	0.22	1.25	0.542	169	1	1	1
RPS6KL1	0	0.947	1.09	0.751	0.343	0.225	1.24	0.764	160	2	1	1
FSTL4	0	0.651	0.525	0.818	-0.293	0.236	-1.22	0.458	127	1	1	1
AP3B2	0	0.583	0.693	0.437	0.256	0.241	1.2	0.73	139	1	1	1
H1F0	0	7.17	7.02	7.39	-0.37	0.244	-1.19	0.395	124	2	2	1
CHGA	0	1.03	1.35	0.613	0.738	0.26	1.15	1	150	1	1	1
DCLK1	0	0.924	0.789	1.11	-0.317	0.267	-1.13	0.131	104	1	1	1
WDR31	0	1.35	1.43	1.23	0.202	0.273	1.12	0.4	176	1	1	1
VEZF1	1	3.63	3.51	3.79	-0.282	0.274	-1.11	0.438	126	1	1	1
REEP2	0	0.907	0.805	1.04	-0.239	0.282	-1.11	0.633	135	1	1	1
DISP2	0	0.429	0.503	0.329	0.174	0.288	1.08	0.564	168	1	1	1
EIF2D	0	4.94	5.02	4.84	0.188	0.289	1.08	0.438	174	1	1	1
MGAT5	0	3.08	2.95	3.26	-0.307	0.29	-1.07	0.499	129	1	1	1
FARP1	0	2.44	2.56	2.29	0.263	0.292	1.07	0.4	176	1	1	1
ZNF704	0	2.91	2.76	3.12	-0.36	0.296	-1.07	0.237	114	2	2	1
TAF15	0	5.85	5.69	6.05	-0.364	0.297	-1.06	0.438	126	1	1	1
NPTX2	0	1.45	1.3	1.65	-0.346	0.3	-1.06	0.342	121	2	2	1
CACNA2D2	0	2.02	1.9	2.19	-0.289	0.306	-1.04	0.298	118	1	1	1
CDH24	0	2.37	2.53	2.15	0.376	0.309	1.04	0.214	188	1	1	1
KRBA2	0	1.27	1.35	1.15	0.195	0.311	1.03	0.499	171	1	1	1
ORMDL3	0	4.69	4.59	4.82	-0.231	0.315	-1.02	0.347	121	1	1	1
SNAPC4	1	2.85	2.97	2.68	0.29	0.319	1.01	0.726	161	2	1	2
NEK4	0	2.4	2.47	2.3	0.175	0.319	1.01	0.438	174	1	1	1
STMN3	0	3.56	3.4	3.78	-0.377	0.327	-0.994	0.298	118	1	1	1
PI15	0	2.37	2.05	2.8	-0.748	0.332	-0.992	0.521	130	1	1	1
PGPEP1	0	2.58	2.65	2.49	0.162	0.334	0.982	0.438	174	1	1	1
RUNDC3A	0	1.07	1.23	0.866	0.362	0.336	0.977	0.347	179	1	1	1
NRXN3	0	0.582	0.493	0.7	-0.208	0.336	-0.985	0.283	117	1	1	1
PLCB4	0	2.4	2.26	2.57	-0.313	0.338	-0.973	0.202	111	1	1	1
DYNLL2	0	4.98	4.89	5.09	-0.2	0.338	-0.973	0.499	129	1	1	1
SLC23A2	0	3.68	3.6	3.77	-0.168	0.346	-0.957	0.347	121	1	1	1
FAM161B	0	1.85	1.93	1.74	0.193	0.347	0.955	0.382	177	1	1	1
PLCH2	0	1.22	1.08	1.41	-0.33	0.35	-0.953	0.314	119	1	1	1
POLDIP3	0	4.78	4.71	4.88	-0.171	0.352	-0.947	0.364	122	1	1	1
PHLPP1	0	2.19	2.26	2.11	0.155	0.354	0.941	0.594	166	2	1	1
FNDC5	0	0.889	0.786	1.03	-0.24	0.361	-0.935	0.61	134	1	1	1
STK35	0	3.28	3.22	3.38	-0.162	0.362	-0.925	0.4	124	1	1	1
ILF3	0	5.43	5.36	5.52	-0.162	0.368	-0.913	0.158	107	1	1	1
TSTD2	0	2.03	2.1	1.94	0.157	0.372	0.906	0.217	188	2	1	1
MSI2	0	3.63	3.55	3.73	-0.178	0.377	-0.895	0.479	128	1	1	1
CBX2	0	2.21	2.35	2.02	0.326	0.377	0.896	0.438	174	1	1	1
IL17RB	0	2.87	2.96	2.74	0.218	0.378	0.897	0.227	187	1	1	1
PPME1	0	4.83	4.74	4.94	-0.195	0.379	-0.892	0.438	126	1	1	1
SYT1	0	1.02	0.835	1.26	-0.426	0.382	-0.888	0.254	115	1	1	1
BECN1	0	4.87	4.94	4.79	0.149	0.392	0.869	0.364	178	1	1	1
NNAT	0	1.06	0.975	1.17	-0.196	0.393	-0.87	0.419	125	1	1	1
GGT7	0	2.76	2.64	2.91	-0.266	0.399	-0.855	0.564	132	1	1	1
RNF187	0	5.43	5.36	5.51	-0.15	0.4	-0.853	0.484	128	2	1	1
NAGLU	0	3.99	4.08	3.88	0.192	0.406	0.842	0.458	173	1	1	1
INSM1	1	1.09	1.23	0.91	0.32	0.415	0.826	0.657	164	1	1	1
KCNH6	0	1.37	1.22	1.58	-0.36	0.422	-0.814	0.314	119	1	1	1
UNC5A	0	0.965	0.852	1.12	-0.265	0.424	-0.81	0.564	132	1	1	1
TULP3	0	3.43	3.35	3.54	-0.187	0.435	-0.793	0.314	119	1	1	1
SLIT1	0	0.841	0.732	0.987	-0.255	0.436	-0.792	0.298	118	1	1	1
EIF4B	0	7.2	7.12	7.3	-0.172	0.437	-0.788	0.347	121	1	1	1
TRAF3IP1	0	2.67	2.73	2.59	0.14	0.44	0.784	0.419	175	1	1	1
DUSP16	0	3.94	4.04	3.8	0.24	0.44	0.783	0.961	148	1	1	1
HNRNPF	0	6.42	6.34	6.53	-0.186	0.442	-0.778	0.633	135	1	1	1
CRKL	0	3.96	3.9	4.05	-0.144	0.443	-0.777	0.254	115	1	1	1
CRMP1	0	2.27	2.18	2.39	-0.209	0.449	-0.767	0.4	124	1	1	1
RASL10B	0	1.08	0.972	1.22	-0.248	0.449	-0.77	0.61	134	1	1	1
EPN2	0	3.35	3.29	3.44	-0.154	0.45	-0.764	0.755	140	1	1	1
MPP2	0	0.532	0.587	0.458	0.129	0.45	0.765	0.856	156	1	1	1
ATP8A2	0	0.754	0.676	0.857	-0.181	0.458	-0.752	0.633	135	1	1	1
SH3BP5L	0	3.76	3.7	3.83	-0.127	0.462	-0.744	0.458	127	1	1	1
FGF12	0	0.619	0.672	0.55	0.122	0.471	0.73	0.856	156	1	1	1
TRIM14	0	4.07	4.15	3.96	0.195	0.476	0.722	0.479	172	1	1	1
CLDN9	0	0.651	0.717	0.564	0.153	0.485	0.706	0.542	169	1	1	1
TUBB3	0	2.78	2.94	2.57	0.371	0.488	0.702	0.61	166	1	1	1
TBC1D5	0	2.99	2.94	3.07	-0.134	0.488	-0.702	0.414	125	2	1	1
CHGB	0	0.651	0.757	0.509	0.248	0.489	0.701	0.542	131	1	1	1
ZNF770	1	3.68	3.6	3.79	-0.184	0.491	-0.696	0.364	122	1	1	1
RANGAP1	0	4.35	4.4	4.28	0.127	0.493	0.697	0.458	173	1	1	1
EP300	1	3.81	3.73	3.91	-0.178	0.494	-0.694	0.564	132	1	1	1
NF1	1	2.69	2.62	2.77	-0.151	0.496	-0.691	0.633	135	1	1	1
CSNK2A1	0	4.8	4.75	4.87	-0.124	0.498	-0.685	0.499	129	1	1	1
SF3B3	0	4.07	4.12	4	0.117	0.503	0.678	0.542	169	1	1	1
EYA3	0	2.82	2.88	2.74	0.145	0.505	0.675	0.4	176	1	1	1
MTMR1	0	3.12	3.07	3.19	-0.116	0.505	-0.675	0.24	114	1	1	1
RAVER2	0	2.46	2.53	2.36	0.169	0.51	0.667	0.587	167	1	1	1
SYT13	0	1.31	1.18	1.48	-0.302	0.513	-0.661	0.254	115	1	1	1
TMEM57	0	4.11	4.05	4.19	-0.143	0.513	-0.663	0.73	139	1	1	1
RIMS4	0	0.634	0.724	0.515	0.21	0.514	0.661	0.364	122	1	1	1
BCL7A	0	2.28	2.34	2.21	0.128	0.516	0.659	0.438	174	1	1	1
TRIM37	0	3.13	3.07	3.21	-0.135	0.519	-0.651	0.479	128	1	1	1
DDX3X	0	5.34	5.29	5.41	-0.118	0.536	-0.626	0.764	140	2	1	1
UBFD1	0	3.98	3.92	4.04	-0.121	0.538	-0.625	0.191	110	1	1	1
HSP90AA1	0	8.35	8.42	8.27	0.149	0.541	0.618	0.537	169	2	2	1
BTBD9	0	2.07	2.02	2.13	-0.101	0.544	-0.614	0.617	134	2	1	1
RBM24	0	0.926	0.85	1.03	-0.178	0.545	-0.613	0.705	138	1	1	1
PTPN11	0	4.32	4.37	4.25	0.123	0.552	0.601	0.499	171	1	1	1
CDON	0	1.42	1.48	1.34	0.141	0.553	0.6	0.677	163	2	1	2
FAM57B	0	0.525	0.57	0.465	0.105	0.561	0.587	0.516	170	2	1	2
KITLG	0	1.85	1.92	1.74	0.182	0.564	0.583	0.564	168	1	1	1
FUT8	0	2.25	2.2	2.33	-0.13	0.564	-0.584	0.61	134	1	1	1
RGP1	0	3.18	3.13	3.24	-0.108	0.577	-0.563	0.803	142	2	1	2
WDR35	0	1.92	1.87	1.99	-0.121	0.578	-0.564	0.961	152	1	1	1
KPNA6	0	3.77	3.82	3.71	0.108	0.581	0.558	0.414	175	2	1	1
RIMBP2	0	0.356	0.403	0.293	0.11	0.581	0.558	0.564	132	1	1	1
AP2B1	0	5.19	5.15	5.25	-0.101	0.587	-0.548	0.755	140	1	1	1
SLC22A23	0	3.6	3.51	3.72	-0.213	0.595	-0.538	0.755	140	1	1	1
AHCTF1	0	3.04	3	3.09	-0.0908	0.599	-0.53	0.521	130	1	1	1
NAPB	0	2.13	2.18	2.07	0.111	0.602	0.528	0.443	174	2	1	1
FAM155A	0	0.589	0.539	0.655	-0.115	0.602	-0.528	0.479	128	1	1	1
CACNA1B	0	0.521	0.579	0.444	0.135	0.606	0.522	0.815	158	2	1	1
SRSF9	0	6.03	6.07	5.98	0.099	0.607	0.521	0.815	158	2	1	1
USP37	0	1.19	1.24	1.14	0.099	0.612	0.513	0.755	160	1	1	1
NPLOC4	0	3.99	4.03	3.94	0.0901	0.619	0.503	0.934	153	1	1	1
RLIM	0	3.41	3.37	3.46	-0.0874	0.626	-0.492	0.564	132	1	1	1
OTUD7B	0	2.59	2.62	2.54	0.0814	0.629	0.487	0.564	168	1	1	1
TSR1	0	3.02	3.06	2.97	0.0919	0.63	0.486	0.805	158	1	1	1
UNC13A	0	0.476	0.521	0.416	0.105	0.644	0.467	0.681	163	1	1	1
INO80D	0	1.83	1.79	1.88	-0.0818	0.65	-0.459	0.831	143	1	1	1
SYN1	0	0.74	0.783	0.683	0.1	0.653	0.454	0.831	157	1	1	1
PCBP3	0	1.14	1.09	1.21	-0.117	0.654	-0.452	0.61	134	1	1	1
MYT1	0	0.951	1.02	0.859	0.161	0.655	0.451	0.705	162	1	1	1
EGFL6	0	0.617	0.665	0.552	0.113	0.657	0.45	0.117	198	2	1	1
CBFA2T2	0	3.29	3.34	3.22	0.122	0.66	0.444	0.681	163	1	1	1
CEP89	0	2.22	2.25	2.17	0.0803	0.664	0.439	0.78	159	1	1	1
KBTBD11	0	2.04	1.99	2.11	-0.127	0.671	-0.428	0.633	135	1	1	1
COPG2	0	3.11	3.15	3.06	0.0877	0.672	0.427	0.419	175	1	1	1
UBXN2B	0	3.22	3.26	3.18	0.0791	0.676	0.423	0.777	159	2	2	1
STXBP5L	0	0.707	0.756	0.641	0.115	0.677	0.421	0.629	165	2	1	2
SF3A1	0	4.53	4.5	4.58	-0.0765	0.677	-0.421	0.755	140	1	1	1
DDI2	0	3.31	3.35	3.26	0.09	0.679	0.417	0.934	147	2	1	1
CBX5	0	3.66	3.62	3.72	-0.0964	0.682	-0.413	0.438	126	1	1	1
CSDE1	0	7.08	7.11	7.04	0.0719	0.682	0.414	0.516	170	2	1	2
TMED8	0	2.5	2.54	2.46	0.0757	0.686	0.408	0.856	156	1	1	1
TOB2	0	4.74	4.7	4.78	-0.0805	0.686	-0.409	0.78	141	1	1	1
KLHL11	0	1.55	1.6	1.49	0.109	0.688	0.405	0.587	167	1	1	1
QSOX2	0	3.34	3.39	3.29	0.0991	0.699	0.392	0.657	164	1	1	1
UBE2G2	0	4.84	4.81	4.89	-0.0752	0.703	-0.385	0.777	141	2	2	1
KIAA1324L	0	1.66	1.62	1.72	-0.0987	0.713	-0.371	0.705	138	1	1	1
TGFBRAP1	0	2.97	2.94	3.01	-0.0644	0.724	-0.357	0.856	144	1	1	1
MFAP1	0	4.26	4.29	4.22	0.0625	0.73	0.349	0.882	155	1	1	1
CACNB3	0	3.07	3.11	3.02	0.0897	0.736	0.34	0.987	151	1	1	1
